CLIENT_NAME,NORMALISED_COUNTRY
Lionstep AG 1,United States
Johns Hopkins Health System,United States
Uber exchange,Bangladesh
Publicis Sapient- Exchange,Canada
Publicis Sapient,United States
Wuxi AppTec,United States
Adecco,Belgium
Dana Farber,United States
Recruitics - DE,Hungary
Recruitics - DE,Morocco
CH Regionalmedien AG,Cyprus
Recruitics - DE,Norway
TAG - LHH - USA,United States
G&D Integrated,United States
Just Eat Takeaway - Corporate,Ireland
TalentNext,United States
Adecco Personaldienstleistungen GmbH,Switzerland
Adecco Personaldienstleistungen GmbH-Exchange,United States
Adecco - Switzerland - Opti,Sweden
inCare by Piening,United States
Mars,Ireland
Mars,United States
LHH - Switzerland - Opti,Poland
RSR- Lonza SGD Exchange,South Korea
LHH,Romania
Recruitics - DE,Israel
Lululemon,Switzerland
Wells Fargo,United Arab Emirates
Publicis Sapient,Switzerland
XPO,United States
Kuehne+Nagel,United States
Five Guys,United States
Lionstep AG 1,Puerto Rico
Uber Eats,United States
Uber Eats,Mexico
Piening GmbH Berlin - Exchange,Germany
Crash Champions,United States
Adecco Germany Logistics Exchange,Germany
Adecco,United States
Uber exchange,United Kingdom
Just Eat Takeaway - Courier,Netherlands
Modis GmbH-Exchange,Germany
MJHS,United States
Just Eats Takeaway - Scoober - Courier,United Kingdom
Hoops HR,United States
Proserv DE Exchange,Germany
Uber,Argentina
Piening GmbH Bielefeld - Exchange,Poland
Smile Brands,United States
Roadie,United States
Honeywell,Canada
FLINT,Canada
K&B Transportation,United States
Just Eat Takeaway - Courier,Belgium
Recruitics - DE,Australia
Korn_Ferry-Honeywell,United States
Lonza,Belgium
Recruitics - DE,Malaysia
Randall Reilly,United States
Honeywell,Germany
Mundipharma,Germany
Wells Fargo,China
Adecco - Switzerland - Opti,Germany
Recruitics - DE,Italy
Novae,United States
Recruitics - DE,Portugal
Just Eats Takeaway - Scoober - Courier,United States
SKILLIT,Puerto Rico
Just Eat Takeaway - Corporate,Switzerland
KCB,United States
Mars,Germany
Motion Recruitment,United States
Adecco,France
Motion Recruitment,Canada
Uber eats exchange,China
Honeywell,Netherlands
Johnson and Johnson- EU,Germany
Idaho Milk,United States
Adecco Amazon,Germany
Carrier One,United States
Publicis Sapient,France
Just Eats Takeaway - Scoober - Courier,Canada
David Lloyd,Ireland
Honeywell,Puerto Rico
Uber,Russia
Recruitics - DE,Canada
Adecco,Poland
Publicis Sapient- Exchange,United Kingdom
Mundipharma,Denmark
Adecco - Switzerland - Opti,France
Wells Fargo,Japan
Lionstep AG 1,Czechia
CH Regionalmedien AG,Germany
CH Regionalmedien AG,Iceland
Amrize BE,United States
Spring Health,Japan
Wells Fargo,Taiwan
Adecco - Switzerland - Opti,Austria
KCB,United States
Lonza - NAM,Canada
Quest Defense Systems & Solutions,United States
CH Regionalmedien AG,France
Adecco - Switzerland - Opti,Monaco
Centers Healthcare - Exchange,Canada
Lionstep AG 1,France
Amrize BE,France
Cafcass- UK Penna Public Exchange,United Kingdom
Sabic,United States
Adecco Personaldienstleistungen GmbH,France
LHH,Netherlands
ING Netherlands,United States
Adecco Personaldienstleistungen GmbH-Exchange,France
Bristol Myers Squibb,Spain
CH Regionalmedien AG,Switzerland
Adecco - France,France
Centers Healthcare - Exchange,United States
Methodist Le Bonheur,United States
Lonza - NAM,United States
Modis GmbH,Germany
Angi Services,United States
Uber eats exchange,Mexico
LHH Recruitment Solutions,France
Wells Fargo,India
Just Eat Takeaway - Courier,Germany
Recruitics - DE,United Kingdom
Westlake Ace Hardware,United States
Lionstep AG 1,Germany
Uber AI Solutions,United States
Albertsons,United States
David Lloyd,United Kingdom
Publicis Sapient- Exchange,Germany
Wells Fargo,Philippines
Publicis Sapient,India
Flexential - Exchange,United States
Mundipharma,United Kingdom
Galderma,Germany
Crash Champions,United States
Recruitics - DE,Colombia
Recruitics - DE,India
Helena Agri,United States
Johnson and Johnson- EU,Switzerland
Scale AI,United States
CH Regionalmedien AG,Cameroon
Publicis Sapient- Exchange,Saudi Arabia
Publicis Sapient- Exchange,Denmark
TAG - Adecco - Euro,Belgium
BrandSafway Exchange,United States
Volvo Exchange,Sweden
Lululemon,Germany
CH Regionalmedien AG,Austria
Recruitics - DE,Austria
Uber,United Kingdom
Lonza - APAC,United States
Just Eats Takeaway - Scoober - Courier,United States
TAG - Adecco - USA,United States
Modis GmbH,United States
Wells Fargo,United States
Just Eats Takeaway - Scoober - Courier,Switzerland
CH Regionalmedien AG,Liechtenstein
RSR - Frontier Exchange,United States
Publicis Sapient,Italy
Uber eats exchange,Taiwan
Jackson Healthcare,United States
Scale AI,India
Mars,France
Third Bridge,United States
Five Guys,United States
Groendyke Transport,United States
Bristol Myers Squibb,Netherlands
Lionstep AG 1,Liechtenstein
DWA - Northrop Grumman,Italy
Publicis Sapient,Canada
KCB,Ireland
Recruitics - DE,Nigeria
TAG - The Adecco Group - Euro,Germany
Recruitics - DE,South Africa
Just Eat Takeaway - Courier,United States
Wells Fargo,Germany
Adecco,Luxembourg
CareRite,Canada
CEDA,Canada
Recruitics - DE,Sweden
Lonza - APAC,Singapore
Lululemon,Japan
LHH - Switzerland - Opti,United States
ING Netherlands,United States
Carrier,Guam
Galderma,United Kingdom
David Lloyd,Spain
Adecco - France,Belgium
Gloucestershire County Council PennaPublic Exchange,United Kingdom
Adecco - France,Luxembourg
LHH - Switzerland - Opti,Austria
Jefferson Health,United States
Mars,Belgium
LHH,Switzerland
Gloucestershire County Council,United Kingdom
Adecco,Finland
Uber,Mexico
DWA - Northrop Grumman,United States
Amrize,United States
Uber eats exchange,United States
inCare,Germany
Just Eats Takeaway - Scoober - Courier,Germany
Uber exchange,Mexico
Adecco Personaldienstleistungen GmbH-Exchange,Germany
LHH - Switzerland - Opti,Switzerland
Proserv DE,Germany
Uber eats exchange,Australia
Just Eat Takeaway - Courier,Italy
Just Eats Takeaway - Scoober - Courier,Netherlands
Lionstep AG,Switzerland
Parkland,United States
Epic Healthcare,United States
Nordstrom,United States
STG Logistics,United States
LHH,United States
MetroPlus,United States
Adecco Personaldienstleistungen GmbH,Austria
Piening GmbH Bielefeld - Exchange,Spain
Publicis Sapient,United Kingdom
Frontier,United States
Western Financial,Canada
Just Eat Takeaway - Corporate,Australia
Totalmed Exchange,United States
Recruitics - DE,Indonesia
RSR- Lonza SGD Exchange,Singapore
Adecco Personaldienstleistungen GmbH,Poland
Recruitics - DE,Brazil
LHH Exchange,United States
Publicis Sapient,Singapore
Scale AI,United States
Recruitics - DE,Egypt
Lonza,Italy
Publicis Sapient,Denmark
Recruitics - DE,United Arab Emirates
Adecco,Norway
Just Eats Takeaway - Scoober - Courier,Austria
Just Eats Takeaway - Scoober - Courier,Italy
DWA - Northrop Grumman,Australia
Publicis Sapient- Exchange,United States
LHH,Germany
Lionstep AG,Germany
Recruitics - DE,United States
Randstad DE,Germany
Adecco - Switzerland - Opti,Liechtenstein
Pontoon - Switzerland,Switzerland
Bristol Myers Squibb,Switzerland
Adecco Personaldienstleistungen GmbH,United States
Wuxi AppTec,Switzerland
ING Netherlands Euro exchange,United States
Riverside Transport,United States
Liberty Global,United Kingdom
David Lloyd,United States
Omnicom Media GmbH,United States
Mars,Netherlands
LHH Recruitment Solutions,Canada
Lonza,Spain
Gemeente,United States
Wells Fargo,Ireland
Carpenter Technology,Mexico
Publicis Sapient- Exchange,France
LHH - Switzerland - Opti,United States
Scale AI,Denmark
Bristol Myers Squibb,United States
Lonza - NAM,Costa Rica
Jazz Pharmaceuticals,United Kingdom
Jazz Pharmaceuticals,Canada
inCare,Austria
Lonza,France
Recruitics - DE,Greece
Publicis Sapient- Exchange,Australia
Moments Hospice,United States
David Lloyd,Belgium
Publicis Sapient- Exchange,United Arab Emirates
Otsuka Pharmaceutical,Puerto Rico
Acelero,Puerto Rico
MVT,United States
WorkWhile- Exchange,United States
Just Eat Takeaway - Corporate,United States
LHH - Switzerland - Opti,United Arab Emirates
Methodist Le Bonheur,United States
KAG,Canada
CareRite,Puerto Rico
Tempur-Sealy,United States
Angi Services,Puerto Rico
Lionstep AG,Puerto Rico
Ericsson-Exchange,United States
Marten Transport,United States
Scale AI,Taiwan
ING Netherlands Euro exchange,United States
DIS AG Central Campaigns,United States
David Lloyd,Switzerland
Galderma,United States
Uber,United States
DIS AG,Germany
Adecco Central Campaigns Exchange,Germany
Adecco Personaldienstleistungen GmbH,Germany
Recruitics - DE,United States
Heartland Dental,United States
Ashley Furniture,United States
Banner Bank,United States
Korn_Ferry-Honeywell,United States
Uber eats exchange,Japan
New Story Schools,United States
Gemeente,Netherlands
LHH,Italy
Marvecs GmbH,Germany
Flexential,United States
Just Eats Takeaway - Scoober - Courier,Poland
Uber,Japan
Charter,United States
MADSACK Market Solutions,United States
Recruitics - DE,Spain
Johnson and Johnson- EU,Russia
Hoops HR - Exchange,United States
Just Eat Takeaway - Corporate,Spain
PetVet,United States
Acelero,United States
Korn_Ferry-Honeywell,Canada
LHH Recruitment Solutions,French Guiana
Johnson and Johnson- EU,Belgium
Publicis Sapient,Saudi Arabia
Publicis Sapient- Exchange,Italy
Publicis Sapient- Exchange,United States
Recruitics - DE,Thailand
Publicis Sapient- Exchange,India
Lionstep AG,United States
LHH Recruitment Solutions,Mayotte
Western Financial,United States
CoreCivic,United States
Recruitics - DE,Chile
Centers Healthcare,Canada
Hoops HR - Exchange,United States
Honeywell,United States
Just Eat Takeaway - Corporate,United Kingdom
Uber,United States
Adecco Canada - Exchange,Canada
Otsuka Pharmaceutical,United States
DWA - Northrop Grumman,United Kingdom
Cambridge Health Alliance,United States
WorkWhile,United States
Carpenter Technology,United States
ASPCA,United States
Uber Eats,United States
Galderma,France
Visage,United States
Sabic,Netherlands
Avata Partners - Exchange,United States
Publicis Sapient - Exchange,United Kingdom
Aviva,Russia
Just Eats Takeaway - Scoober - Courier,Spain
Honeywell,United States
Ashley Furniture,United States
AICA Orthopedics,United States
Korn_Ferry-Honeywell,Puerto Rico
Adecco - Switzerland - Opti,Mexico
Recruitics - DE,Switzerland
Jazz Pharmaceuticals,United States
Domino's,United States
David Lloyd,Netherlands
CAE,United Kingdom
Little Wheel,United States
Adecco,Austria
TAG - Adecco - Euro,Germany
Yellowshark,United States
LHH - Switzerland - Opti,Greece
Gemeente,Belgium
KornFerry_Honeywell_Exchange,Canada
Mundipharma,Switzerland
Publicis Sapient,Poland
LHH,Liechtenstein
Western Financial,United States
Galderma,Canada
Piening GmbH Bielefeld - Exchange,United States
Mundipharma,Austria
Wells Fargo,Sweden
Lionstep AG 1,Netherlands
Adecco - France,Switzerland
Tesco,United States
CH Regionalmedien AG,United States
Publicis Sapient,Netherlands
Sabic,Germany
Modis GmbH,United States
Piening GmbH Berlin,United States
Mars,United States
Uber exchange,United States
DIS AG Central Campaigns,Germany
DIS AG-Exchange,Germany
Riverside Transport,United States
MADSACK Market Solutions,Germany
Just Eat Takeaway - Courier,Poland
TRN Staffing,United States
Publicis Sapient,United States
Johnson and Johnson- EU,Ireland
New Story,United States
Kuehne+Nagel,United States
CareRite,United States
Just Eat Takeaway - Corporate,United States
Motion Recruitment,United States
Adecco Germany Logistics,Germany
Uber exchange,Japan
Wahve,United States
Lionstep AG 1,United States
Aviva,Ireland
Just Eat Takeaway - Corporate,Israel
WorkWhile- Exchange,United States
Wells Fargo,Canada
Lionstep AG 1,Austria
Publicis Sapient- Exchange,Colombia
Angi Services,Canada
Recruitics - DE,Peru
Just Eats Takeaway - Corporate,Austria
Mundipharma,United States
Uber,Bangladesh
Champions Group,United States
Johnson and Johnson- EU,United States
Johnson and Johnson- EU,United States
Angi Services,United States
DWA - Northrop Grumman,Guam
Wells Fargo,Hong Kong
Visage,United States
inCare by Piening,Austria
Lonza,United States
Affinix,United States
LHH Exchange,Germany
Wells Fargo,United Kingdom
Lionstep AG 1,Switzerland
Affinix,United States
ScionHealth,United States
Bausch and Lomb,United States
Phoebe Putney Health System,United States
Tesco,United Kingdom
Chief,United States
Johnson and Johnson- EU,United Kingdom
KCB,Australia
Recruitics - DE,Denmark
Adecco,Sweden
Tempur-Sealy,United States
Adecco,United Kingdom
Cavco,United States
Lionstep AG 1,Italy
Spring Health,Puerto Rico
Frontier,United States
Red Bear Care Wellness,United States
Publicis Sapient,Argentina
Amrize,Canada
Adecco - Switzerland - Opti,Cyprus
LHH Recruitment Solutions,Malaysia
RSR- Lonza SGD Exchange,United States
Randall Reilly,United States
Marvecs GmbH,United States
Scale AI,South Korea
Recruitics - DE,Czechia
Bristol Myers Squibb,Ireland
Recruitics - DE,Uzbekistan
DIS AG,Austria
Camden Council,United Kingdom
Lionstep AG 1,Hungary
Publicis Sapient,Thailand
Recruitics - DE,Qatar
Recruitics - DE,Azerbaijan
Mundipharma,Poland
Recruitics - DE,Saudi Arabia
Lionstep AG 1,Poland
Recruitics - DE,New Zealand
Adecco Personaldienstleistungen GmbH,United States
MB HC,United States
Adecco World Wide Web DE,Germany
Centers Healthcare,United States
Infinite Healthcare,United States
SKILLIT,United States
Kenan Advantage Group,United States
Yale New Haven Health,United States
Publicis Sapient,Germany
Aveanna Healthcare,United States
Aviva,United Kingdom
Carrier,United States
Just Eats Takeaway - Corporate,Belgium
Aviva,United States
CWB,Canada
Touchmark,United States
Moments Hospice,United States
Little Wheel,United States
Publicis Sapient,Colombia
Otsuka Pharmaceutical,United States
Five Guys,United Kingdom
Wells Fargo,Singapore
Recruitics - DE,Poland
Just Eats Takeaway - Scoober - Courier,Belgium
TAG - Adecco - USA,United States
Enhance Therapies,United States
Uber Eats,China
Bristol Myers Squibb,Germany
Uber eats exchange,United States
Recruitics - DE,Vietnam
Recruitics - DE,Puerto Rico
Recruitics - DE,Japan
inCare,United States
LHH Recruitment Solutions,United States
Adecco Central Campaigns,Germany
Jackson Healthcare,United States
Just Eat Takeaway - Courier,Australia
Barclays - Exchange,United Kingdom
Yacht,United States
Just Eats Takeaway - Corporate,Italy
Wells Fargo,South Korea
Uber Eats,Taiwan
Bristol Myers Squibb - UK,United Kingdom
Just Eats Takeaway - Corporate,Bulgaria
TAG - Adecco - Euro,Netherlands
DWA - Northrop Grumman,South Korea
Just Eats Takeaway - Corporate,Denmark
Proserv DE,United States
WorkerHero - Exchange,Germany
Modis GmbH-Exchange,United States
Piening GmbH Bielefeld,United States
Lonza,Netherlands
Adecco,Canada
Scale AI,Thailand
Wuxi AppTec,United States
Mundipharma,Italy
RSR- Lonza SGD Exchange,Hong Kong
Champions Group,United States
RSR- Lonza SGD Exchange,Japan
Pontoon - Switzerland,United States
Publicis Sapient- Exchange,Singapore
DWA - Northrop Grumman,Japan
Charter,United States
TAG - The Adecco Group - Euro,Netherlands
LHH - Switzerland - Opti,Belgium
Angi Services,Australia
RSR - Frontier Exchange,United States
LHH - Switzerland - Opti,Sierra Leone
Amrize,France
Lonza - NAM,United Kingdom
RSR- Lonza SGD Exchange,Malaysia
Lionstep AG 1,Sweden
Barclays - Exchange,United States
DIS AG Central Campaigns Exchange,United States
Albertsons,United States
Adecco,Ireland
KCB,United Kingdom
Yacht,United States
Carpenter Technology,Canada
Lionstep AG,Liechtenstein
Adecco,Slovakia
